Julia's Classifier
---------------------------------------------
Expected results:

Accuracy: 0.529642
Precision: 0.540787
Recall: 0.519452
F1 Score: 0.529905



1	"Yo no creo que a nadie le haya encantado un pene flácido .
"	"Yo no creo que a nadie le haya encantado un pene flcido 
"
1	"Amber preguntó si quería beber algo y me llevó a la cocina , que estaba provista de Frappuccinos , coca-colas , y -su desayuno de elección- Dr Pepper Light .
"	"Amber pregunt si quera beber algo y me llev a la cocina  que estaba provista de Frappuccinos  cocacolas  y su desayuno de eleccin Dr Pepper Light 
"
1	"Esperemos que no encontrarás más ex-novias famosas en el futuro !
"	"Esperemos que no encontrars ms exnovias famosas en el futuro 
"
1	"Los datos de la contraseña se guarda en el mismo dispositivo , mediante el cifrado AES acelerado por hardware .
"	"Los datos de la contrasea se guarda en el mismo dispositivo  mediante el cifrado AES acelerado por hardware 
"
1	"¡ Se ha anunciado el programa completo y es ridículamente increíble !
"	" Se ha anunciado el programa completo y es ridculamente increble 
"
1	"Iván , que dirigió las dos primeras Ghostbusters , compartió algunos detalles con los fans de la franquicia !
"	"Ivn  que dirigi las dos primeras Ghostbusters  comparti algunos detalles con los fans de la franquicia 
"
1	"Por un lado , Apple quiere crear un servicio en el que los usuarios podrían iniciar la sesión con su ID de Apple y el control de datos de los clientes .
"	"Por un lado  Apple quiere crear un servicio en el que los usuarios podran iniciar la sesin con su ID de Apple y el control de datos de los clientes 
"
1	"Rovi pagará $ 62 millones en dinero en efectivo para la empresa y su IP en el cierre , y hasta $ 7 millones en pagos adicionales en función de ciertos objetivos de rendimiento .
"	"Rovi pagar   millones en dinero en efectivo para la empresa y su IP en el cierre  y hasta   millones en pagos adicionales en funcin de ciertos objetivos de rendimiento 
"
1	"Él tenía todo un equipo de amigos y entrenadores que analizan las hojas de cálculo , el juego de mesa y la media hora de retraso en la emisión en directo de ESPN .
"	"l tena todo un equipo de amigos y entrenadores que analizan las hojas de clculo  el juego de mesa y la media hora de retraso en la emisin en directo de ESPN 
"
1	"Los niños que fueron a la Tennis Camp Tamarack provenían principalmente de bien-a-hacer las familias de la Costa Este , pero el campamento en sí no nos sentimos como el lugar de una persona rica : no era raro que los inspectores de salud locales para advertir sobre el campamento sus condiciones , o para la madre de algún brahmán de Boston dejando caer a su hijo fuera , y ver a donde iba a dormir y comer durante el próximo mes , a punto de estallar en lágrimas .
"	"Los nios que fueron a la Tennis Camp Tamarack provenan principalmente de bienahacer las familias de la Costa Este  pero el campamento en s no nos sentimos como el lugar de una persona rica  no era raro que los inspectores de salud locales para advertir sobre el campamento sus condiciones  o para la madre de algn brahmn de Boston dejando caer a su hijo fuera  y ver a donde iba a dormir y comer durante el prximo mes  a punto de estallar en lgrimas 
"
1	"No es extraño que Andrew quiere Peter Parker para ir camino gay-que él no tiene que Screen Kiss cualquier otras damas después de Emma va para siempre !
"	"No es extrao que Andrew quiere Peter Parker para ir camino gayque l no tiene que Screen Kiss cualquier otras damas despus de Emma va para siempre 
"
1	"Luego aprendí que las condiciones no eran tan deplorables como el estado en que ella fue encontrada .
"	"Luego aprend que las condiciones no eran tan deplorables como el estado en que ella fue encontrada 
"
1	"Esa noche me empapé una de esas delicias de Costco en el agua , y por la mañana siguiente se veía y se sentía exactamente como los objetos de goma blancas en vómito de Chuck .
"	"Esa noche me empap una de esas delicias de Costco en el agua  y por la maana siguiente se vea y se senta exactamente como los objetos de goma blancas en vmito de Chuck 
"
1	"Brad Feld contó la historia de su primera inversión de capital riesgo ( después de haber hecho 40 inversiones de ángel ) en su blog ayer .
"	"Brad Feld cont la historia de su primera inversin de capital riesgo  despus de haber hecho  inversiones de ngel  en su blog ayer 
"
0	"Cualquier bar puede servir , a menos que esté tan lleno de gente que tengas que gritar .
"	"Cualquier bar puede servir  a menos que est tan lleno de gente que tengas que gritar 
"
1	"El bastante para decir : "" ¿ Sabes qué ?
"	"El bastante para decir    Sabes qu 
"
1	"Este no es el típico de aquí en TechCrunch , pero es importante tener en cuenta que no todos los avances de la tecnología está representado por las aplicaciones sociales o nuevos servidores .
"	"Este no es el tpico de aqu en TechCrunch  pero es importante tener en cuenta que no todos los avances de la tecnologa est representado por las aplicaciones sociales o nuevos servidores 
"
1	"Sarah Britton es una especialista en nutrición integral , cocinera vegetariana , y la creadora del premiado blog Mi New Roots .
"	"Sarah Britton es una especialista en nutricin integral  cocinera vegetariana  y la creadora del premiado blog Mi New Roots 
"
1	"Mediante el seguimiento de rendimiento sobre una base mensual , se obtiene una instantánea de gran alcance de lo bien que está involucrado con su público a través del tiempo .
"	"Mediante el seguimiento de rendimiento sobre una base mensual  se obtiene una instantnea de gran alcance de lo bien que est involucrado con su pblico a travs del tiempo 
"
1	"Etiquetas : ariana grande , premios de la música iheartradio , premios de la música iheartradio 2014 , instagram , jared leto , Pharrell , fotos , twitpics ,
"	"Etiquetas  ariana grande  premios de la msica iheartradio  premios de la msica iheartradio   instagram  jared leto  Pharrell  fotos  twitpics 
"
1	"Pero la mayor parte del año el cielo está azul , la brisa es constante , la buganvilla está floreciendo , y las temperaturas son absolutamente perfecto .
"	"Pero la mayor parte del ao el cielo est azul  la brisa es constante  la buganvilla est floreciendo  y las temperaturas son absolutamente perfecto 
"
1	"Famosos celebran Día de los Caídos en las redes sociales !
"	"Famosos celebran Da de los Cados en las redes sociales 
"
1	"Esa es una fuerte tentación para personas endeudadas - pero una vez que ejercen su derecho a comprar , pierden todos su derecho de ser alojados por el gobierno en el futuro .
"	"Esa es una fuerte tentacin para personas endeudadas  pero una vez que ejercen su derecho a comprar  pierden todos su derecho de ser alojados por el gobierno en el futuro 
"
1	"Se hizo una burla de una industria que me encanta .
"	"Se hizo una burla de una industria que me encanta 
"
1	""" Paul me dio lo suficiente como para pensar que tenía una pequeña posibilidad , pero también me hizo sentir como si estuviera siendo insistente cada vez que le preguntaba si quería salir .
"	" Paul me dio lo suficiente como para pensar que tena una pequea posibilidad  pero tambin me hizo sentir como si estuviera siendo insistente cada vez que le preguntaba si quera salir 
"
1	"Está bien , así que no es como si estuviera paseando por mi casa a todas horas de la noche con un bebé inquieto screamy .
"	"Est bien  as que no es como si estuviera paseando por mi casa a todas horas de la noche con un beb inquieto screamy 
"
1	"En la cuarta mañana , nadie se comió los Fruit Loops .
"	"En la cuarta maana  nadie se comi los Fruit Loops 
"
1	"En un vídeo en internet , Anonymous pidió venganza , prometiendo atacar a las empresas que han impedido WikiLeaks .
"	"En un vdeo en internet  Anonymous pidi venganza  prometiendo atacar a las empresas que han impedido WikiLeaks 
"
1	"De cualquier manera , el meme épico de la barba del hombre parecía un buen ejemplo de una última cosa vale la pena considerar de "" cultura de Internet "" .
"	"De cualquier manera  el meme pico de la barba del hombre pareca un buen ejemplo de una ltima cosa vale la pena considerar de  cultura de Internet  
"
1	"Nido ha reconocido el error y está tratando de lanzar a la gente a la actualización más fiable 3.5.3 , pero no ha confesado hasta el calor de la gente de apagarse , y los clientes están reportando extremadamente largos o tiempos de espera interminables línea de apoyo .
"	"Nido ha reconocido el error y est tratando de lanzar a la gente a la actualizacin ms fiable   pero no ha confesado hasta el calor de la gente de apagarse  y los clientes estn reportando extremadamente largos o tiempos de espera interminables lnea de apoyo 
"
1	"Pero una vez más , la experiencia no me aplaste .
"	"Pero una vez ms  la experiencia no me aplaste 
"
1	"Así que volvimos y tuvimos que hacer ajustes "" .
"	"As que volvimos y tuvimos que hacer ajustes  
"
1	"NIKKI : Siento que tuvimos una gran conversación , pero las cosas más físicas se muestran en lugar de una buena conexión mental .
"	"NIKKI  Siento que tuvimos una gran conversacin  pero las cosas ms fsicas se muestran en lugar de una buena conexin mental 
"
1	"O bien , técnicamente hablando , está de frente !
"	"O bien  tcnicamente hablando  est de frente 
"
1	"Elle Reino Unido utiliza un enlace rewardStyle en un blog de trescientos palabra en la colección de Rihanna para River Island y ganó un estimado de $ 33.500 .
"	"Elle Reino Unido utiliza un enlace rewardStyle en un blog de trescientos palabra en la coleccin de Rihanna para River Island y gan un estimado de   
"
1	"( Cajas de comida para llevar muy pequeñas de fideos de inspiración asiática con los palillos de plástico de color rosa y pizzas de queso de dos pulgadas en mini cajas de cartón con "" # NMevents "" pegatinas fueron mayormente sin comer pero Instagrammed frecuencia .
"	" Cajas de comida para llevar muy pequeas de fideos de inspiracin asitica con los palillos de plstico de color rosa y pizzas de queso de dos pulgadas en mini cajas de cartn con   NMevents  pegatinas fueron mayormente sin comer pero Instagrammed frecuencia 
"
0	"Gracias por leer todo !
"	"Gracias por leer todo 
"
1	"El mundo nunca puede saber lo que hay debajo del antebrazo con tinta de Ryan , pero una cosa es segura ... todos estamos preguntando !
"	"El mundo nunca puede saber lo que hay debajo del antebrazo con tinta de Ryan  pero una cosa es segura  todos estamos preguntando 
"
1	"Lo que estamos hablando aquí no son tanto las mentiras absolutas , sino más bien los muchos ( muchos muchos muchos , , ) escenas "" chica con chica "" en la pornografía convencional que no están representando a todo el pastel de sexo lésbico .
"	"Lo que estamos hablando aqu no son tanto las mentiras absolutas  sino ms bien los muchos  muchos muchos muchos    escenas  chica con chica  en la pornografa convencional que no estn representando a todo el pastel de sexo lsbico 
"
1	"Yo vivo en una casa azul de los Dodgers en una gran colina en el barrio de Silver Lake de Los Ángeles , que está a pocos kilómetros al noroeste del centro .
"	"Yo vivo en una casa azul de los Dodgers en una gran colina en el barrio de Silver Lake de Los ngeles  que est a pocos kilmetros al noroeste del centro 
"
1	"El día que mi esposo y yo llevamos a nuestra casa robot , pasamos horas viendo .
"	"El da que mi esposo y yo llevamos a nuestra casa robot  pasamos horas viendo 
"
0	"Y el título de este año es para ... Lupita Nyong ' o !
"	"Y el ttulo de este ao es para  Lupita Nyong  o 
"
1	"Parte del problema es que a pesar de que los teléfonos han sido altamente descontado por los transportistas , al menos aquí en los EE.UU. , no está claro los descuentos están impulsando las ventas .
"	"Parte del problema es que a pesar de que los telfonos han sido altamente descontado por los transportistas  al menos aqu en los EEUU  no est claro los descuentos estn impulsando las ventas 
"
0	""" El mayor problema surge si usted está intentando averiguar ¿ qué es esto ?
"	" El mayor problema surge si usted est intentando averiguar  qu es esto 
"
1	"Es más difícil de devaluar la utilidad de una onza de la productividad que se trata de un gigabyte de almacenamiento .
"	"Es ms difcil de devaluar la utilidad de una onza de la productividad que se trata de un gigabyte de almacenamiento 
"
1	"Angelina Jolie se burla del mundo con una posible Maléfica Sequel !
"	"Angelina Jolie se burla del mundo con una posible Malfica Sequel 
"
1	"¿ Ves lo que hice allí ?
"	" Ves lo que hice all 
"
1	"El segundo grupo de de llamantes , fueron la gran mayoría , cerca del 85 por ciento , y llamaban ya que sólo podían ser complacidas por algo ilegal o físicamente imposible .
"	"El segundo grupo de de llamantes  fueron la gran mayora  cerca del  por ciento  y llamaban ya que slo podan ser complacidas por algo ilegal o fsicamente imposible 
"
1	""" Básicamente la ley marcial está llevando a cabo en todos los perímetros Ferguson bloqueados ir y venir "" , escribió .
"	" Bsicamente la ley marcial est llevando a cabo en todos los permetros Ferguson bloqueados ir y venir   escribi 
"
1	"La compañía ha tenido que cerrar las oficinas de todo el mundo y sigue centrándose en el logro de la rentabilidad .
"	"La compaa ha tenido que cerrar las oficinas de todo el mundo y sigue centrndose en el logro de la rentabilidad 
"
1	"Entre los supervivientes que restan , se encuentran dos tipos notables : los enormes fondos de capital riesgo Mega con más de $ 1B bajo mgmt como Andreessen Horowitz , Greylock , Accel , Sequoia , Benchmark , Kleiner y Khosla , y fondos más pequeños y ágiles , "" Micro VC "" , ( generalmente
"	"Entre los supervivientes que restan  se encuentran dos tipos notables  los enormes fondos de capital riesgo Mega con ms de  B bajo mgmt como Andreessen Horowitz  Greylock  Accel  Sequoia  Benchmark  Kleiner y Khosla  y fondos ms pequeos y giles   Micro VC    generalmente
"
1	"La primera vez fue la primera noche cuando Leta estaba comiendo un burrito de frijoles y queso y dimensionado esa cosa y se dio cuenta que podía adaptarse a toda la cosa en mi garganta sin masticarla .
"	"La primera vez fue la primera noche cuando Leta estaba comiendo un burrito de frijoles y queso y dimensionado esa cosa y se dio cuenta que poda adaptarse a toda la cosa en mi garganta sin masticarla 
"
1	"Algunos bloggers desarrollan seguidores leales , y pronto iconos como Karl Lagerfeld , el Werner Herzog con cola de caballo blanco de la moda , saludaban a los bloggers como Tavi Gevinson , una adolescente de catorce años de edad de los suburbios de Chicago , después de sus shows .
"	"Algunos bloggers desarrollan seguidores leales  y pronto iconos como Karl Lagerfeld  el Werner Herzog con cola de caballo blanco de la moda  saludaban a los bloggers como Tavi Gevinson  una adolescente de catorce aos de edad de los suburbios de Chicago  despus de sus shows 
"
1	"Si tiene suerte , por supuesto .
"	"Si tiene suerte  por supuesto 
"
1	"¿ Sabes cómo hacer más adelante en vida los amigos tienden a ser especialmente alta calidad ?
"	" Sabes cmo hacer ms adelante en vida los amigos tienden a ser especialmente alta calidad 
"
1	"Bueno , me atrevería no hacer clic en cualquier cosa , pasar tiempo con la familia , comer un pretzel suave , siendo agradecidos por su juventud y la salud .
"	"Bueno  me atrevera no hacer clic en cualquier cosa  pasar tiempo con la familia  comer un pretzel suave  siendo agradecidos por su juventud y la salud 
"
1	"La experiencia comunitaria sólo no mantiene el mismo atractivo para mí ya no más .
"	"La experiencia comunitaria slo no mantiene el mismo atractivo para m ya no ms 
"
1	"Sin duda ellos tuvieron relaciones sexuales en el océano , ¿ verdad ?
"	"Sin duda ellos tuvieron relaciones sexuales en el ocano   verdad 
"
1	"Es el dispositivo que nos ha sido prometido durante años , y ha llegado su tiempo , en 2010 , al alcance de un par de generaciones planteadas en la televisión y uno criado en el equipo .
"	"Es el dispositivo que nos ha sido prometido durante aos  y ha llegado su tiempo  en   al alcance de un par de generaciones planteadas en la televisin y uno criado en el equipo 
"
1	"Después de un largo día de presentaciones en la conferencia de la Sociedad Internacional de Estudios Cómicos 2011 , un puñado de eruditos de la comedia pasó de consumidores - si hábil , los analíticos - a productores : Un concurso de micrófono abierto .
"	"Despus de un largo da de presentaciones en la conferencia de la Sociedad Internacional de Estudios Cmicos   un puado de eruditos de la comedia pas de consumidores  si hbil  los analticos  a productores  Un concurso de micrfono abierto 
"
1	"No quiero chicas beso .
"	"No quiero chicas beso 
"
0	"Mi hija mayor me preguntó ayer si me sentía emocionado de volver al trabajo , esperando un sí rotundo .
"	"Mi hija mayor me pregunt ayer si me senta emocionado de volver al trabajo  esperando un s rotundo 
"
1	"No está claro lo que el siguiente paso de Jason Goldberg es - por ahora sigue siendo el director general de Fab , y parece que no hay cambios inmediatos en ese frente .
"	"No est claro lo que el siguiente paso de Jason Goldberg es  por ahora sigue siendo el director general de Fab  y parece que no hay cambios inmediatos en ese frente 
"
1	"Servir con chocolate negro rociados , si se desea .
"	"Servir con chocolate negro rociados  si se desea 
"
0	"Ni siquiera me di cuenta de la lesión hasta 10 minutos después de haber actuado porque me estaba divirtiendo mucho .
"	"Ni siquiera me di cuenta de la lesin hasta  minutos despus de haber actuado porque me estaba divirtiendo mucho 
"
1	"Arnold y Andrew sugirieron que veo esta última semana .
"	"Arnold y Andrew sugirieron que veo esta ltima semana 
"
1	""" Ella no es lo suficientemente sofisticado como para saber cuáles son sus manías son , "" dice el periodista Jim DeRogatis , que rompió la historia inicial de la cinta pornografica .
"	" Ella no es lo suficientemente sofisticado como para saber cules son sus manas son   dice el periodista Jim DeRogatis  que rompi la historia inicial de la cinta pornografica 
"
1	"Aún así , tiene que ser más que lo que cuesta para crecer y utilizar unas pilas energizadas por algas , ¿ verdad ?
"	"An as  tiene que ser ms que lo que cuesta para crecer y utilizar unas pilas energizadas por algas   verdad 
"
1	"Bodega- porque están en una bodega , cantando para el comercial de una bodega , tiene todo el sentido , ¿ verdad ?
"	"Bodega porque estn en una bodega  cantando para el comercial de una bodega  tiene todo el sentido   verdad 
"
1	"La reducción del costo de Windows en dispositivos de bajo costo podría ayudar a la compañía a promover un nuevo grupo de dispositivos que finalmente operará sin importar cuál sea el Segundo Windows .
"	"La reduccin del costo de Windows en dispositivos de bajo costo podra ayudar a la compaa a promover un nuevo grupo de dispositivos que finalmente operar sin importar cul sea el Segundo Windows 
"
1	"De hecho , el miedo a volar es lo más aterrador jamás para verdaderamente grandes empresarios .
"	"De hecho  el miedo a volar es lo ms aterrador jams para verdaderamente grandes empresarios 
"
1	"Eso no tiene ningún f * cking sentido .
"	"Eso no tiene ningn f  cking sentido 
"
0	"All You Hombre , no Directioners posible que desee Listen Up !
"	"All You Hombre  no Directioners posible que desee Listen Up 
"
1	"Pero un portavoz echó agua fría en la opinión de que esto podría ser una vía de acceso a una automatización del hogar , ya que creen que la puesta en práctica de la música es atractivo suficiente como es .
"	"Pero un portavoz ech agua fra en la opinin de que esto podra ser una va de acceso a una automatizacin del hogar  ya que creen que la puesta en prctica de la msica es atractivo suficiente como es 
"
1	"Demoró solamente un pequeño y asustado paso para que Janice y su marido deslizasen desde lo que parecía ser la seguridad y a acabar aquí .
"	"Demor solamente un pequeo y asustado paso para que Janice y su marido deslizasen desde lo que pareca ser la seguridad y a acabar aqu 
"
1	"Tmall.com de Alibaba , que alberga las tiendas en línea para grandes marcas , tendrá acceso al inventario de Intime de los productos fuera de línea .
"	"Tmallcom de Alibaba  que alberga las tiendas en lnea para grandes marcas  tendr acceso al inventario de Intime de los productos fuera de lnea 
"
1	"Más todos los que la abstinencia probablemente intensifica la tensión sexual en un grado increíblemente excitante .
"	"Ms todos los que la abstinencia probablemente intensifica la tensin sexual en un grado increblemente excitante 
"
1	"Los chicos tambien agonizan por esto de los textos , especialmente en parecer excesivamente interesados .
"	"Los chicos tambien agonizan por esto de los textos  especialmente en parecer excesivamente interesados 
"
1	"sobre mis veinticinco años , me fui hacia el oeste a buscarme a mí mismto a California , a durass penas conseguí convertirme en un programador decente yendo de un trabajo a otro y sin saber muy bien dónde iba a ser el siguiente .
"	"sobre mis veinticinco aos  me fui hacia el oeste a buscarme a m mismto a California  a durass penas consegu convertirme en un programador decente yendo de un trabajo a otro y sin saber muy bien dnde iba a ser el siguiente 
"
1	"Tan agradable como : La chica que levanta la mano cada tres segundos en una clase tempranera para recordarle a todos que sabe palabras complicadas .
"	"Tan agradable como  La chica que levanta la mano cada tres segundos en una clase tempranera para recordarle a todos que sabe palabras complicadas 
"
1	"Cuando por fin había sentado la , ella no quería poner en el par de pantalones que le había traído .
"	"Cuando por fin haba sentado la  ella no quera poner en el par de pantalones que le haba trado 
"
1	"Principalmente porque todos a su alrededor pusieron en duda sus movimientos al salir de la banda de chicos más grande del momento .
"	"Principalmente porque todos a su alrededor pusieron en duda sus movimientos al salir de la banda de chicos ms grande del momento 
"
1	"OOOH demonios , niña !
"	"OOOH demonios  nia 
"
1	"En esa página de configuración , también puede asegurarse de que tenemos todo correctamente auth ' d con Disqus .
"	"En esa pgina de configuracin  tambin puede asegurarse de que tenemos todo correctamente auth  d con Disqus 
"
1	"Personas ( "" Pinners "" ) utilizan el sitio y las aplicaciones para obtener ideas para su futuro , como recetas , lugares para viajar , y productos para comprar y guardar las cosas que aman a su respectivo consejo .
"	"Personas   Pinners   utilizan el sitio y las aplicaciones para obtener ideas para su futuro  como recetas  lugares para viajar  y productos para comprar y guardar las cosas que aman a su respectivo consejo 
"
1	"Motorola Solutions es la empresa de telecomunicaciones que se formó después de que la unidad móvil de Motorola se separara y convirtiera en Motorola Mobility en el 2011 .
"	"Motorola Solutions es la empresa de telecomunicaciones que se form despus de que la unidad mvil de Motorola se separara y convirtiera en Motorola Mobility en el  
"
1	"No fue una resolución que tuve el año pasado , pero resultó ser una mejora importante en mi vida .
"	"No fue una resolucin que tuve el ao pasado  pero result ser una mejora importante en mi vida 
"
1	"( Canto Ray Charles durante el uso de estos guantes exfoliantes idiotas que Liv Tyler recomienda en Internet una vez .
"	" Canto Ray Charles durante el uso de estos guantes exfoliantes idiotas que Liv Tyler recomienda en Internet una vez 
"
1	"Si tiene varias jugadas de ahí , el calendario mostrará automáticamente uno nuevo cada vez que lo abra .
"	"Si tiene varias jugadas de ah  el calendario mostrar automticamente uno nuevo cada vez que lo abra 
"
1	"Mientras que estamos poniéndonos al día con muchas otras grandes ciudades cuando se trata de tener un sistema ferroviario bien establecido , nuestros autobuses son frecuentes y fiables ( y asequibles ) .
"	"Mientras que estamos ponindonos al da con muchas otras grandes ciudades cuando se trata de tener un sistema ferroviario bien establecido  nuestros autobuses son frecuentes y fiables  y asequibles  
"
1	"En otra pizarra , hicimos una columna para cada sección .
"	"En otra pizarra  hicimos una columna para cada seccin 
"
1	"El presidente de China , Xi Jinping , estuvo de acuerdo en limitar las emisiones de China en el futuro - una impactante acción sin precedentes por una nación que ha sido reacia a involucrarse en el calentamiento global .
"	"El presidente de China  Xi Jinping  estuvo de acuerdo en limitar las emisiones de China en el futuro  una impactante accin sin precedentes por una nacin que ha sido reacia a involucrarse en el calentamiento global 
"
1	"Cuando le doy de comer al bebé me quedo medio dormida .
"	"Cuando le doy de comer al beb me quedo medio dormida 
"
0	"Uma Thurman y Arpad Busson Prometido ¿ Han cancelado su participación por segunda vez !
"	"Uma Thurman y Arpad Busson Prometido  Han cancelado su participacin por segunda vez 
"
1	"Cuando lo vea en acción , no es de extrañar que el concepto de Bellabeat sea un éxito : Si alguna vez hay un momento en la vida en el que alguien quiere hacer un seguimiento de todo lo que está pasando con su cuerpo , es cuando ella está esperando un bebé .
"	"Cuando lo vea en accin  no es de extraar que el concepto de Bellabeat sea un xito  Si alguna vez hay un momento en la vida en el que alguien quiere hacer un seguimiento de todo lo que est pasando con su cuerpo  es cuando ella est esperando un beb 
"
1	"Pero esto es simplemente errónea .
"	"Pero esto es simplemente errnea 
"
1	"Incluso si usted no ha hecho algún acto sexual específico , entró en tantos detalles de la mañana después de que ella lo hizo , que tipo de sentir como que tiene .
"	"Incluso si usted no ha hecho algn acto sexual especfico  entr en tantos detalles de la maana despus de que ella lo hizo  que tipo de sentir como que tiene 
"
1	"y del Comando Cibernético de los Estados Unidos , había mantenido reuniones clasificadas en la Casa Blanca y en otros lugares durante los cuales expresó su preocupación por Anonymous .
"	"y del Comando Ciberntico de los Estados Unidos  haba mantenido reuniones clasificadas en la Casa Blanca y en otros lugares durante los cuales expres su preocupacin por Anonymous 
"
1	"Punto de Scott no es que nada nuevo o interesante ha sucedido en línea desde mediados de la década de 1990 , pero en lugar de rechazar la afirmación común de que la cultura contemporánea Web ha creado expresión sin precedentes .
"	"Punto de Scott no es que nada nuevo o interesante ha sucedido en lnea desde mediados de la dcada de   pero en lugar de rechazar la afirmacin comn de que la cultura contempornea Web ha creado expresin sin precedentes 
"
0	"Hace dos años , Eric Shouse ( co-autor del artículo "" A Comic Rejoinder to American Culture ' s Hegemony of Sensivity : White , Hyper-Masculinity in HBO ' s Comedy Series Eastbound and Down "" ) , ganó el mismo concurso en la conferencia de 2009 en Long Beach .
"	"Hace dos aos  Eric Shouse  coautor del artculo  A Comic Rejoinder to American Culture  s Hegemony of Sensivity  White  HyperMasculinity in HBO  s Comedy Series Eastbound and Down    gan el mismo concurso en la conferencia de  en Long Beach 
"
1	"Los más editores Amber señales en el más influencia que tiene que negociar comisiones más altas con las marcas .
"	"Los ms editores Amber seales en el ms influencia que tiene que negociar comisiones ms altas con las marcas 
"
1	"Pero fue la propuesta de una sorpresa ?
"	"Pero fue la propuesta de una sorpresa 
"
1	"Primero fue la palabra que Intralinks compró DocTrackr , un proveedor de gestión de los derechos de información que tenía su ojo en la caja según se informa .
"	"Primero fue la palabra que Intralinks compr DocTrackr  un proveedor de gestin de los derechos de informacin que tena su ojo en la caja segn se informa 
"
1	"El albergue es una versión moderna de la prisión de Marshalsea de Dickens en Little Dorrit , una comunidad reacia con su propia jerarquía de sufrimiento , donde los años han sido marcados por personas de mala suerte que han terminado encalladas por una razón u otra .
"	"El albergue es una versin moderna de la prisin de Marshalsea de Dickens en Little Dorrit  una comunidad reacia con su propia jerarqua de sufrimiento  donde los aos han sido marcados por personas de mala suerte que han terminado encalladas por una razn u otra 
"
1	"Mejor es reprensión manifiesta Que amor oculto .
"	"Mejor es reprensin manifiesta Que amor oculto 
"
1	"al permitir que los demás escuchen y aprendan .
"	"al permitir que los dems escuchen y aprendan 
"
1	"Esas cosas ridículas que la gente hace a sus cuerpos y que algunos dirían que no tienen ningún beneficio nutricional alguno .
"	"Esas cosas ridculas que la gente hace a sus cuerpos y que algunos diran que no tienen ningn beneficio nutricional alguno 
"
1	"Por ejemplo , puede utilizarlo para controlar la cerradura inteligente de una puerta o conectarlo a los proveedores de pagos en línea y tarjetas de fidelización .
"	"Por ejemplo  puede utilizarlo para controlar la cerradura inteligente de una puerta o conectarlo a los proveedores de pagos en lnea y tarjetas de fidelizacin 
"
1	"Pero Brooks mordió más de lo que podía masticar al tratar de tomar tanto en la transmisión y al por menor digital después de una década pasó en relativa oscuridad , y eso le está costando a los fans más jóvenes del país .
"	"Pero Brooks mordi ms de lo que poda masticar al tratar de tomar tanto en la transmisin y al por menor digital despus de una dcada pas en relativa oscuridad  y eso le est costando a los fans ms jvenes del pas 
"
1	"Katy Perry derrite nuestros cerebros en arena In The Dark Horse Music Video !
"	"Katy Perry derrite nuestros cerebros en arena In The Dark Horse Music Video 
"
1	"He tenido la suerte de perfilar muchas de las startups más exitosas que se aceleran en TheFamily .
"	"He tenido la suerte de perfilar muchas de las startups ms exitosas que se aceleran en TheFamily 
"
1	""" Es decepcionante estar tan cerca , pero tengo mucha suerte de haber llegado hasta aquí , y fue una dura mesa final "" , dijo .
"	" Es decepcionante estar tan cerca  pero tengo mucha suerte de haber llegado hasta aqu  y fue una dura mesa final   dijo 
"
0	"Allen , por su parte , un académico neoyorquino-lectura intelectualmente superior blanca , se baja relativamente impune .
"	"Allen  por su parte  un acadmico neoyorquinolectura intelectualmente superior blanca  se baja relativamente impune 
"
1	""" No tenemos ninguna política racional para apoyar a los cuidadores "" , dice el Dr. Joanne Lynn , director del Instituto de Altarum Centro para Cuidado de Ancianos y Enfermedad Avanzada .
"	" No tenemos ninguna poltica racional para apoyar a los cuidadores   dice el Dr Joanne Lynn  director del Instituto de Altarum Centro para Cuidado de Ancianos y Enfermedad Avanzada 
"
1	"Primero como 2tor , ahora como 2U , la compañía ha estado en una misión para elevar la educación en línea sin ayuda de nadie y dar a las universidades de las herramientas y recursos que necesitan para construir extensiones en línea de sus cursos y programas en el campus .
"	"Primero como tor  ahora como U  la compaa ha estado en una misin para elevar la educacin en lnea sin ayuda de nadie y dar a las universidades de las herramientas y recursos que necesitan para construir extensiones en lnea de sus cursos y programas en el campus 
"
1	"El presiente de Juguetes Industriales ( Industrial Toys ) , Tim Harris , describe Midnight Star como una "" reinvención "" del tirador en tabletas ( tablets ) , en lugar de algo que sólo mueve títulos existentes y juegos mecánicos sobre el relevo de otras plataformas .
"	"El presiente de Juguetes Industriales  Industrial Toys   Tim Harris  describe Midnight Star como una  reinvencin  del tirador en tabletas  tablets   en lugar de algo que slo mueve ttulos existentes y juegos mecnicos sobre el relevo de otras plataformas 
"
1	"Usted sabe cuando alguien está distraído o cansado , o excitado .
"	"Usted sabe cuando alguien est distrado o cansado  o excitado 
"
1	"Durante la Operación Payback , al principio de diciembre , Anonymous dirigió a nuevos reclutas , o noobs , a un folleto titulado "" CÓMO UNIRSE AL PUTO COLMENA "" , en que los participantes estaban instruidos para "" ARREGLAN SU GODDAMN INTERNET .
"	"Durante la Operacin Payback  al principio de diciembre  Anonymous dirigi a nuevos reclutas  o noobs  a un folleto titulado  CMO UNIRSE AL PUTO COLMENA   en que los participantes estaban instruidos para  ARREGLAN SU GODDAMN INTERNET 
"
1	"El fracaso no creó más .
"	"El fracaso no cre ms 
"
1	"La forma en que dicks continuamente alrededor de su esposa y Olivia Papa es completamente inaceptable .
"	"La forma en que dicks continuamente alrededor de su esposa y Olivia Papa es completamente inaceptable 
"
