hotel,is_canceled,lead_time,adults,children,market_segment,country,reserved_room_type,booking_changes,adr,customer_type
City Hotel,0,100,2,0,Offline TA/TO,ITA,A,1,140,Transient-Party
Resort Hotel,0,8,1,0,Corporate,PRT,A,0,105,Transient-Party
City Hotel,0,190,2,2,Online TA,GBR,E,0,117.51,Transient
City Hotel,0,4,1,0,Online TA,GBR,A,0,150,Transient
City Hotel,0,73,2,1,Online TA,GBR,A,0,94,Transient
City Hotel,0,223,2,0,Online TA,PRT,A,0,92.28,Transient
Resort Hotel,0,10,2,0,Online TA,ESP,E,0,112,Transient
Resort Hotel,0,1,1,0,Corporate,PRT,A,0,75,Transient
City Hotel,1,328,3,0,Online TA,ESP,D,0,142.2,Transient
City Hotel,0,29,1,0,Corporate,GRC,A,4,66.18,Transient-Party
City Hotel,0,95,1,0,Online TA,BEL,D,0,147,Transient
City Hotel,0,47,2,0,Offline TA/TO,FRA,A,0,75,Transient
City Hotel,0,6,1,0,Groups,ISR,A,1,86,Transient-Party
City Hotel,0,0,2,0,Direct,DEU,A,0,99,Transient
Resort Hotel,1,40,1,2,Online TA,PRT,F,0,311.5,Transient
City Hotel,0,21,2,0,Online TA,ESP,A,0,148,Transient
City Hotel,1,149,2,0,Groups,PRT,A,0,130,Transient-Party
Resort Hotel,1,31,2,0,Online TA,PRT,D,0,225.6,Transient
Resort Hotel,1,74,2,0,Groups,PRT,A,0,70,Transient
City Hotel,1,129,2,0,Groups,PRT,A,0,130,Transient
Resort Hotel,0,6,1,0,Online TA,PRT,A,0,34.4,Group
City Hotel,1,119,2,0,Direct,PRT,A,1,74.25,Transient
Resort Hotel,1,140,2,0,Groups,PRT,A,0,50,Transient
Resort Hotel,0,20,2,0,Direct,ROU,D,1,89.8,Transient
City Hotel,0,6,2,0,Corporate,PRT,A,0,75,Transient
City Hotel,1,67,2,0,Groups,PRT,A,0,80,Transient
City Hotel,0,85,1,0,Online TA,ITA,A,0,117,Transient
City Hotel,1,277,2,0,Groups,PRT,A,0,100,Transient
City Hotel,1,104,1,0,Online TA,DZA,A,0,74.8,Transient
Resort Hotel,0,1,2,0,Online TA,PRT,A,0,48,Transient
Resort Hotel,1,26,1,0,Offline TA/TO,PRT,A,0,30,Transient
Resort Hotel,0,99,2,0,Online TA,GBR,E,1,68.04,Transient
City Hotel,0,53,2,0,Online TA,BEL,D,0,122,Transient
City Hotel,1,407,2,0,Offline TA/TO,PRT,A,0,90,Transient
City Hotel,0,1,3,0,Online TA,ISR,D,1,209.5,Contract
City Hotel,0,112,2,0,Online TA,BEL,A,0,137.25,Transient
City Hotel,1,127,2,0,Online TA,ESP,A,0,105.3,Transient
City Hotel,1,105,2,0,Online TA,FRA,A,0,125,Transient
Resort Hotel,0,81,3,0,Direct,PRT,D,0,184,Transient
Resort Hotel,1,38,3,0,Online TA,PRT,A,0,242.1,Transient
City Hotel,0,114,2,0,Groups,ESP,A,0,78,Transient-Party
City Hotel,0,5,1,0,Groups,USA,A,1,79.17,Transient-Party
City Hotel,1,209,2,0,Online TA,DEU,A,0,90,Transient
City Hotel,0,1,2,0,Direct,CHE,D,0,112.5,Transient
Resort Hotel,0,98,3,0,Online TA,PRT,D,0,203.24,Transient
Resort Hotel,0,1,2,0,Online TA,VEN,D,0,46.4,Transient
Resort Hotel,0,16,2,0,Online TA,ESP,A,0,163.35,Transient
Resort Hotel,0,62,2,0,Offline TA/TO,IRL,E,0,192.1,Transient
City Hotel,0,14,2,1,Online TA,GBR,A,0,165.6,Transient
City Hotel,0,246,2,0,Online TA,GBR,B,0,81.77,Transient
City Hotel,0,45,2,0,Online TA,BEL,A,0,83.3,Transient
City Hotel,0,2,1,0,Complementary,PRT,D,1,0,Transient
City Hotel,1,34,2,0,Groups,PRT,A,0,75,Transient-Party
City Hotel,1,330,2,0,Groups,PRT,A,0,62,Transient-Party
City Hotel,1,183,1,0,Online TA,IRL,A,0,103.5,Transient
City Hotel,0,102,2,0,Online TA,NLD,A,0,124.4,Transient
Resort Hotel,0,94,2,0,Online TA,ESP,A,0,134,Transient
City Hotel,0,176,2,0,Direct,BEL,A,0,107.1,Transient
City Hotel,1,278,2,0,Groups,PRT,A,0,65,Transient
City Hotel,1,158,2,1,Online TA,GBR,A,0,186.75,Transient
City Hotel,0,158,2,0,Online TA,FRA,A,0,94.5,Transient
Resort Hotel,1,207,2,0,Offline TA/TO,PRT,A,0,34,Transient
City Hotel,0,110,2,0,Online TA,AUT,A,0,101.58,Transient
Resort Hotel,0,2,1,0,Corporate,PRT,A,0,35,Transient
City Hotel,0,57,2,0,Direct,BEL,B,0,65,Transient
City Hotel,1,18,1,0,Online TA,BRA,D,0,129.1,Transient
City Hotel,1,242,2,0,Online TA,GBR,D,0,130.5,Transient
Resort Hotel,1,237,2,0,Offline TA/TO,PRT,E,0,108.9,Contract
City Hotel,1,155,3,0,Online TA,FRA,A,0,135.01,Transient
Resort Hotel,0,3,1,0,Corporate,PRT,A,0,35,Transient
City Hotel,1,56,2,0,Offline TA/TO,PRT,A,0,85,Transient
City Hotel,1,8,2,0,Online TA,PRT,D,1,136,Contract
Resort Hotel,0,104,2,0,Online TA,PRT,E,0,122,Transient
Resort Hotel,1,196,2,0,Online TA,PRT,D,0,41.4,Transient
City Hotel,1,109,2,0,Offline TA/TO,PRT,A,0,75,Transient
City Hotel,0,34,2,1,Direct,FRA,A,0,137,Transient
Resort Hotel,1,244,2,0,Groups,IRL,A,0,8,Transient-Party
Resort Hotel,0,74,2,0,Offline TA/TO,GBR,D,0,107.5,Transient
City Hotel,0,65,2,0,Online TA,USA,A,0,76.23,Transient
Resort Hotel,1,39,2,0,Online TA,PRT,A,0,117,Transient
City Hotel,0,214,1,0,Online TA,BEL,A,3,90.9,Transient-Party
City Hotel,1,153,3,0,Online TA,BEL,D,0,163.8,Transient
City Hotel,1,199,2,0,Offline TA/TO,PRT,A,0,48,Transient
City Hotel,0,17,2,2,Online TA,PRT,F,1,153,Transient-Party
Resort Hotel,0,64,2,0,Direct,PRT,D,0,128.25,Transient
City Hotel,1,6,2,0,Online TA,SAU,A,0,77.78,Transient
City Hotel,1,7,2,0,Online TA,MAR,A,0,160,Transient
City Hotel,1,420,2,0,Groups,PRT,A,0,90,Transient
City Hotel,0,64,1,0,Corporate,PRT,A,1,67,Transient
City Hotel,0,137,2,0,Direct,ESP,A,0,103.5,Transient
City Hotel,0,38,2,0,Offline TA/TO,FRA,A,0,99,Transient
City Hotel,0,145,1,0,Offline TA/TO,ITA,A,0,36.25,Transient-Party
Resort Hotel,1,124,2,0,Groups,PRT,A,0,80,Transient
Resort Hotel,1,112,2,0,Groups,PRT,A,0,68,Transient-Party
City Hotel,1,91,2,0,Online TA,BEL,A,0,126,Transient
City Hotel,0,4,2,0,Online TA,FRA,A,1,99.51,Transient
City Hotel,1,54,2,0,Offline TA/TO,PRT,A,0,65,Transient
City Hotel,1,4,2,1,Online TA,NLD,A,0,127,Transient
City Hotel,1,130,2,0,Online TA,CHE,D,0,155,Transient
Resort Hotel,0,89,2,0,Offline TA/TO,PRT,A,0,0,Transient
Resort Hotel,0,129,2,0,Offline TA/TO,ESP,D,0,157.5,Transient
City Hotel,0,20,2,0,Online TA,CN,A,1,107.2,Transient
Resort Hotel,1,259,2,0,Groups,GBR,A,0,40.05,Transient
City Hotel,1,7,2,0,Online TA,PRT,A,0,130.67,Transient
Resort Hotel,0,1,1,0,Direct,PRT,E,1,55,Group
City Hotel,1,205,2,0,Online TA,PRT,A,0,130.5,Transient
City Hotel,1,201,2,0,Online TA,DEU,A,0,125.1,Transient
City Hotel,0,22,2,0,Online TA,PRT,D,0,105.65,Transient
City Hotel,0,2,1,0,Complementary,PRT,A,0,0,Transient
Resort Hotel,1,31,1,0,Offline TA/TO,PRT,A,0,25,Transient-Party
Resort Hotel,0,1,1,0,Offline TA/TO,ESP,A,1,37.6,Transient-Party
City Hotel,1,36,1,0,Online TA,GBR,A,0,108,Transient
City Hotel,0,15,2,0,Offline TA/TO,DEU,D,0,54.5,Transient
City Hotel,0,124,2,0,Online TA,GBR,A,0,99,Transient
Resort Hotel,1,244,2,0,Offline TA/TO,PRT,A,0,36,Transient
City Hotel,0,28,1,0,Online TA,NLD,D,0,108.42,Transient
City Hotel,0,134,1,0,Groups,PRT,A,0,75,Transient-Party
City Hotel,0,0,1,0,Online TA,ESP,A,0,88,Transient
Resort Hotel,0,11,2,2,Online TA,ESP,C,0,284,Transient
City Hotel,0,0,2,0,Online TA,GBR,A,0,160,Transient
City Hotel,0,37,2,0,Offline TA/TO,GBR,A,0,85.5,Transient
Resort Hotel,0,27,2,0,Online TA,CHE,A,0,153,Transient
City Hotel,0,26,2,0,Online TA,AUS,A,0,105,Contract
Resort Hotel,0,0,2,0,Online TA,PRT,A,0,48,Transient
City Hotel,1,336,2,0,Online TA,FRA,A,0,99,Transient
City Hotel,0,63,3,0,Online TA,JPN,E,0,225.43,Transient
City Hotel,0,7,1,0,Direct,USA,A,0,109,Transient
Resort Hotel,1,84,2,0,Online TA,ITA,A,0,171.5,Transient
City Hotel,0,292,2,0,Online TA,PRT,B,1,98.85,Transient
City Hotel,1,279,2,0,Groups,PRT,A,0,65,Transient
City Hotel,0,115,2,0,Offline TA/TO,IDN,A,0,89.1,Transient
City Hotel,0,16,1,0,Online TA,IRL,D,0,160,Transient
City Hotel,0,31,1,0,Online TA,MYS,A,0,85.5,Contract
City Hotel,0,141,2,0,Direct,JPN,A,4,138.75,Transient
Resort Hotel,0,215,2,0,Direct,IRL,D,0,62.05,Transient-Party
City Hotel,1,283,2,0,Groups,PRT,A,0,96,Transient
City Hotel,1,113,1,0,Corporate,PRT,A,0,100,Transient
City Hotel,1,300,2,0,Groups,PRT,A,0,110,Transient
City Hotel,0,7,2,1,Online TA,ISR,A,0,143,Transient
City Hotel,0,174,2,0,Offline TA/TO,GBR,A,0,80.1,Transient
Resort Hotel,0,16,2,0,Online TA,PRT,E,2,170,Transient
Resort Hotel,0,9,2,0,Online TA,PRT,A,0,65,Transient
City Hotel,0,0,1,0,Complementary,PRT,A,0,0,Transient
City Hotel,1,80,2,2,Online TA,GRC,F,0,230,Transient
Resort Hotel,0,2,2,0,Online TA,PRT,A,0,48,Transient
City Hotel,1,54,2,0,Online TA,IRL,A,0,118.8,Transient
Resort Hotel,0,270,2,0,Offline TA/TO,GBR,A,3,77.85,Contract
City Hotel,0,107,1,0,Online TA,FRA,A,0,46.63,Transient
Resort Hotel,0,0,2,0,Direct,PRT,E,0,68,Transient
Resort Hotel,0,46,2,0,Direct,PRT,E,1,91.35,Transient
Resort Hotel,0,36,2,0,Online TA,CN,A,0,46.69,Transient
City Hotel,1,405,2,0,Groups,PRT,A,0,65,Transient
City Hotel,1,19,2,0,Online TA,PRT,A,0,135,Transient
City Hotel,0,75,3,0,Offline TA/TO,ESP,A,0,115,Transient
City Hotel,0,30,3,0,Online TA,KOR,D,0,147.5,Transient
City Hotel,0,76,2,0,Online TA,PRT,A,0,87.3,Transient-Party
City Hotel,0,0,2,0,Direct,PRT,E,0,95,Transient
City Hotel,1,150,1,0,Offline TA/TO,PRT,A,0,120,Transient
Resort Hotel,1,39,1,0,Offline TA/TO,PRT,A,0,39,Transient
City Hotel,0,15,1,0,Groups,ESP,A,1,89,Transient-Party
City Hotel,1,71,1,0,Offline TA/TO,PRT,A,0,120,Transient
Resort Hotel,1,95,4,0,Direct,PRT,H,0,190,Transient
City Hotel,0,60,1,0,Offline TA/TO,PRT,A,1,60,Transient-Party
City Hotel,0,7,1,0,Groups,ISR,A,0,60,Transient-Party
Resort Hotel,0,167,2,0,Offline TA/TO,NLD,E,0,111.15,Transient
City Hotel,0,0,2,0,Direct,PRT,D,0,0,Transient
City Hotel,1,69,2,0,Online TA,FRA,A,0,80.1,Transient
City Hotel,0,210,2,0,Offline TA/TO,LUX,A,0,72.25,Transient
City Hotel,1,100,2,0,Online TA,ITA,A,0,91.5,Transient
City Hotel,0,19,2,0,Online TA,ESP,A,1,122,Contract
Resort Hotel,1,253,2,0,Offline TA/TO,PRT,A,0,58.95,Transient
Resort Hotel,0,29,2,0,Online TA,GBR,A,0,103.18,Transient
City Hotel,0,22,2,0,Online TA,PRT,D,0,108,Transient
City Hotel,0,177,2,0,Groups,PRT,A,0,96,Transient-Party
City Hotel,0,40,2,0,Online TA,FRA,A,0,105.3,Transient
City Hotel,1,169,2,0,Offline TA/TO,PRT,A,0,170,Transient
City Hotel,0,1,1,0,Corporate,PRT,A,0,65,Transient
City Hotel,1,55,2,1,Direct,GBR,D,0,96.9,Transient
City Hotel,1,72,1,0,Groups,PRT,A,0,65,Transient
Resort Hotel,1,48,2,0,Online TA,PRT,E,0,167,Transient
City Hotel,0,28,2,0,Offline TA/TO,POL,A,0,75,Transient
Resort Hotel,1,36,2,0,Groups,PRT,A,0,64,Transient-Party
Resort Hotel,0,23,2,0,Online TA,PRT,E,0,63,Transient
Resort Hotel,0,0,2,0,Direct,GBR,F,1,76,Transient
City Hotel,1,79,3,0,Online TA,DEU,A,0,150.45,Transient
City Hotel,1,34,1,0,Online TA,PRT,A,0,89,Transient
City Hotel,1,58,2,0,Online TA,HRV,D,2,156.67,Transient
City Hotel,1,85,2,0,Groups,PRT,A,0,111,Transient
City Hotel,0,4,1,0,Corporate,PRT,A,0,90,Transient-Party
Resort Hotel,0,26,1,0,Corporate,AUT,E,2,5.25,Transient-Party
City Hotel,0,57,2,0,Offline TA/TO,PRT,A,0,90.67,Transient-Party
Resort Hotel,0,118,2,0,Offline TA/TO,GBR,A,0,59,Contract
Resort Hotel,0,20,2,0,Online TA,PRT,A,0,48,Transient
City Hotel,1,80,1,0,Offline TA/TO,PRT,A,0,100,Transient
Resort Hotel,0,60,2,0,Online TA,GBR,A,0,48,Transient-Party
City Hotel,0,4,2,0,Online TA,ESP,A,0,88,Transient-Party
City Hotel,0,6,2,2,Direct,PRT,F,0,131.75,Transient
City Hotel,1,144,2,1,Online TA,BRA,A,2,103.7,Transient
City Hotel,0,15,2,0,Online TA,GBR,A,0,80.46,Transient
City Hotel,1,170,2,2,Online TA,FRA,F,0,193.5,Transient
City Hotel,1,184,2,0,Online TA,NOR,D,0,122.4,Transient
City Hotel,0,152,2,0,Online TA,IRL,D,0,102.6,Transient
Resort Hotel,0,218,2,0,Online TA,ROU,A,0,54,Transient-Party
Resort Hotel,0,115,2,0,Online TA,IRL,A,1,56,Transient
City Hotel,1,78,2,0,Offline TA/TO,PRT,A,0,100,Transient
Resort Hotel,0,2,2,0,Direct,PRT,D,0,67.5,Transient
Resort Hotel,1,129,2,0,Online TA,PRT,A,0,120,Transient
City Hotel,0,127,2,0,Online TA,GBR,A,0,114.3,Transient-Party
City Hotel,1,46,2,2,Online TA,BRA,F,0,204,Transient
Resort Hotel,1,67,2,0,Online TA,GBR,E,0,115,Transient
City Hotel,0,94,2,0,Offline TA/TO,GBR,D,0,60,Transient
City Hotel,0,8,2,0,Online TA,IRL,D,0,163.33,Transient
City Hotel,0,6,1,0,Complementary,PRT,A,0,0,Transient
Resort Hotel,0,130,2,0,Direct,PRT,A,2,156.5,Transient
City Hotel,0,20,2,0,Online TA,ESP,A,0,97,Transient
City Hotel,0,47,2,2,Online TA,NLD,F,0,198.9,Transient
City Hotel,1,26,1,0,Online TA,IRL,A,0,160,Transient
City Hotel,1,62,1,0,Groups,PRT,A,0,135,Transient
City Hotel,0,26,1,0,Corporate,PRT,A,1,65,Transient
City Hotel,1,304,2,0,Groups,PRT,A,0,62,Contract
Resort Hotel,0,24,2,0,Online TA,COL,A,0,160,Transient-Party
Resort Hotel,0,207,2,0,Offline TA/TO,AUT,D,0,99,Transient
City Hotel,1,282,2,0,Online TA,ESP,A,0,83.3,Transient
Resort Hotel,0,407,2,0,Offline TA/TO,GBR,D,0,121.5,Contract
City Hotel,1,59,2,0,Online TA,GBR,A,0,140,Transient
City Hotel,0,10,1,0,Offline TA/TO,PRT,A,0,87,Transient
City Hotel,1,177,2,0,Online TA,GBR,A,0,85,Transient
City Hotel,0,142,2,0,Groups,ITA,A,0,65,Transient-Party
City Hotel,0,101,2,0,Online TA,FRA,A,0,120,Transient
City Hotel,0,0,1,0,Online TA,PRT,A,0,85,Transient
Resort Hotel,1,318,2,0,Online TA,PRT,A,0,74.25,Transient
City Hotel,0,72,2,0,Offline TA/TO,PRT,A,0,108,Transient-Party
City Hotel,0,191,2,0,Online TA,PRT,A,0,96.3,Transient
Resort Hotel,0,104,2,0,Offline TA/TO,GBR,E,0,84.95,Contract
City Hotel,1,258,2,0,Groups,PRT,A,0,62,Contract
Resort Hotel,0,88,2,0,Offline TA/TO,GBR,A,0,68.4,Transient
City Hotel,1,134,2,0,Offline TA/TO,PRT,A,0,65,Transient
Resort Hotel,0,4,1,0,Offline TA/TO,PRT,A,1,48.6,Transient-Party
City Hotel,1,27,2,0,Online TA,NOR,D,0,179,Transient
Resort Hotel,1,57,2,0,Online TA,GBR,A,0,129,Transient
City Hotel,0,212,2,0,Groups,FRA,A,2,127.33,Transient-Party
Resort Hotel,1,253,2,0,Online TA,ESP,A,0,153.75,Transient
City Hotel,0,28,2,0,Online TA,FRA,A,0,139,Transient
City Hotel,0,9,3,0,Online TA,DEU,D,0,186,Transient
City Hotel,1,43,2,0,Online TA,PRT,A,0,92.03,Contract
City Hotel,0,119,3,0,Online TA,PRT,A,0,146.7,Transient-Party
Resort Hotel,0,199,2,0,Groups,DEU,A,1,42.5,Transient-Party
Resort Hotel,0,26,2,0,Direct,DEU,E,0,80,Transient-Party
City Hotel,0,142,2,0,Online TA,AUT,D,0,113.05,Transient
City Hotel,1,15,2,0,Offline TA/TO,PRT,A,0,95,Transient
Resort Hotel,1,49,1,0,Groups,PRT,E,0,66,Transient-Party
City Hotel,1,468,2,0,Groups,PRT,A,0,62,Transient
City Hotel,1,277,2,0,Offline TA/TO,PRT,A,0,80,Transient-Party
City Hotel,0,145,2,1,Online TA,DEU,A,0,128.34,Transient
Resort Hotel,0,5,2,0,Direct,PRT,A,0,135,Transient
Resort Hotel,1,302,2,0,Groups,PRT,A,0,81,Transient-Party
Resort Hotel,1,329,2,0,Offline TA/TO,PRT,E,0,28,Transient
City Hotel,0,86,1,0,Corporate,PRT,A,1,67,Transient
City Hotel,0,41,2,0,Online TA,FRA,A,0,117.9,Transient
City Hotel,0,0,2,2,Online TA,PRT,F,0,190,Transient
City Hotel,1,273,2,0,Offline TA/TO,PRT,A,0,95,Transient
Resort Hotel,0,3,2,0,Direct,AUS,D,0,133,Transient
Resort Hotel,0,4,1,0,Offline TA/TO,PRT,A,0,25,Transient
Resort Hotel,0,15,2,0,Offline TA/TO,ARM,D,0,49.4,Transient
City Hotel,1,111,3,0,Online TA,DEU,D,0,159.3,Transient
Resort Hotel,0,1,2,0,Online TA,GRC,C,2,204,Transient
City Hotel,0,78,3,0,Online TA,FRA,E,0,198,Transient
City Hotel,0,24,2,0,Online TA,BRA,A,0,115.5,Transient-Party
City Hotel,1,65,2,0,Groups,PRT,A,0,62,Transient
City Hotel,0,0,2,0,Online TA,HRV,A,0,111,Transient
Resort Hotel,0,53,2,0,Offline TA/TO,GBR,A,1,26,Transient
City Hotel,0,48,2,0,Online TA,GBR,A,0,150,Transient
Resort Hotel,0,101,1,0,Groups,NLD,A,8,0,Transient-Party
City Hotel,0,98,1,0,Groups,FRA,A,0,70,Transient-Party
City Hotel,1,342,2,0,Groups,PRT,A,0,62,Contract
Resort Hotel,1,32,2,0,Online TA,IRL,A,0,65,Transient
City Hotel,0,105,2,0,Online TA,DEU,A,0,89.3,Transient
City Hotel,0,207,2,0,Offline TA/TO,DEU,A,0,72.25,Transient-Party
Resort Hotel,0,92,2,0,Offline TA/TO,GBR,A,1,34,Transient
Resort Hotel,0,2,2,0,Direct,ESP,A,1,102,Transient
City Hotel,0,36,2,0,Online TA,FRA,A,0,140,Transient
City Hotel,0,169,1,0,Offline TA/TO,RUS,A,1,63.5,Transient-Party
Resort Hotel,0,45,3,0,Online TA,PRT,A,0,216,Group
City Hotel,1,45,2,0,Online TA,GBR,A,0,140,Transient
City Hotel,1,71,1,0,Offline TA/TO,PRT,A,0,120,Transient
City Hotel,1,194,2,0,Online TA,DEU,E,3,162,Transient
City Hotel,0,14,2,0,Online TA,FRA,A,0,146,Transient
City Hotel,1,19,2,0,Online TA,FRA,A,0,180,Transient
City Hotel,1,241,2,0,Online TA,DEU,A,2,99.45,Transient
City Hotel,1,13,2,0,Direct,PRT,A,0,134,Transient
City Hotel,0,0,2,0,Direct,ESP,A,1,169,Transient-Party
City Hotel,0,40,1,0,Groups,ESP,A,0,60,Transient-Party
City Hotel,0,104,2,0,Offline TA/TO,FRA,A,0,75,Transient
City Hotel,0,1,0,0,Online TA,GBR,D,8,35.81,Transient
City Hotel,0,1,1,0,Corporate,PRT,A,0,80,Transient
City Hotel,1,171,2,0,Online TA,DEU,D,0,116.1,Transient
City Hotel,1,153,2,0,Online TA,DEU,E,0,166.5,Transient
City Hotel,0,122,2,0,Offline TA/TO,PRT,A,0,107,Transient-Party
Resort Hotel,0,5,1,0,Online TA,PRT,A,0,39,Transient
Resort Hotel,0,160,1,0,Offline TA/TO,GBR,A,0,53.55,Contract
Resort Hotel,1,310,2,0,Online TA,PRT,D,0,206,Transient
City Hotel,1,137,1,0,Groups,PRT,A,0,70,Transient
City Hotel,0,56,2,0,Online TA,FRA,A,0,74.8,Transient
City Hotel,0,26,2,0,Online TA,USA,D,0,139,Transient
Resort Hotel,0,28,2,0,Online TA,ESP,E,1,105.5,Transient
City Hotel,1,229,2,0,Groups,PRT,A,0,110,Transient
Resort Hotel,0,201,2,0,Online TA,GBR,G,1,135,Transient
City Hotel,0,163,2,0,Online TA,FRA,A,0,94.5,Transient-Party
City Hotel,0,125,2,0,Online TA,IRL,D,0,99.45,Transient
Resort Hotel,1,15,1,0,Online TA,IRL,A,0,43,Transient
Resort Hotel,0,7,1,0,Corporate,PRT,A,1,120,Transient-Party
City Hotel,0,193,2,0,Online TA,SWE,A,0,70.44,Transient
City Hotel,1,281,2,0,Groups,PRT,A,0,62,Transient
City Hotel,0,100,2,0,Online TA,DEU,A,0,72.25,Transient
Resort Hotel,1,92,2,0,Groups,PRT,A,0,79,Transient
Resort Hotel,0,100,2,0,Groups,PRT,D,0,93,Transient-Party
City Hotel,0,124,2,0,Online TA,BEL,A,0,163.8,Transient
City Hotel,1,142,2,0,Online TA,ITA,D,0,155,Transient
City Hotel,0,160,2,0,Offline TA/TO,ITA,A,0,70.67,Transient-Party
City Hotel,1,93,1,0,Offline TA/TO,PRT,A,0,115,Transient
City Hotel,1,21,2,0,Online TA,DZA,A,0,124.25,Transient
Resort Hotel,0,113,2,0,Offline TA/TO,IRL,A,0,41.76,Transient
Resort Hotel,0,73,2,0,Corporate,GBR,D,1,48,Transient-Party
City Hotel,1,342,2,0,Groups,PRT,A,0,170,Transient
City Hotel,0,200,2,0,Direct,BEL,A,0,80.75,Transient
Resort Hotel,1,87,2,0,Online TA,PRT,D,0,38.03,Transient
City Hotel,0,4,1,0,Corporate,PRT,A,0,65,Group
Resort Hotel,0,62,2,0,Direct,BEL,E,0,83.6,Transient
City Hotel,0,23,2,0,Online TA,FRA,A,0,120,Transient
City Hotel,0,95,2,0,Online TA,GBR,A,0,85,Transient
City Hotel,0,286,1,0,Offline TA/TO,ITA,A,1,91,Transient-Party
City Hotel,0,59,2,0,Offline TA/TO,PRT,A,0,85,Transient-Party
Resort Hotel,0,0,1,0,Direct,PRT,D,0,45,Transient
Resort Hotel,1,26,2,1,Online TA,PRT,G,0,87,Transient
City Hotel,0,177,2,0,Offline TA/TO,PRT,A,0,80.1,Transient
City Hotel,1,14,1,0,Direct,AGO,E,0,170.85,Transient
City Hotel,0,11,2,0,Online TA,DEU,D,0,155,Contract
City Hotel,0,35,2,0,Offline TA/TO,FRA,A,0,99,Transient
City Hotel,0,88,2,0,Offline TA/TO,ITA,A,0,112.2,Transient-Party
Resort Hotel,0,64,2,0,Offline TA/TO,PRT,D,0,62,Transient
City Hotel,1,2,1,0,Direct,PRT,A,0,79.5,Transient
City Hotel,0,181,2,0,Online TA,CHE,A,0,126,Transient
City Hotel,0,1,2,0,Online TA,FRA,A,0,90,Transient
Resort Hotel,1,66,2,0,Groups,PRT,A,0,64,Transient-Party
City Hotel,0,116,2,0,Groups,FRA,A,0,100,Transient-Party
City Hotel,1,143,2,0,Groups,PRT,A,0,100,Transient
City Hotel,1,386,2,0,Groups,PRT,A,0,62,Transient
City Hotel,1,443,1,0,Offline TA/TO,PRT,A,0,60,Transient
Resort Hotel,0,102,2,1,Online TA,GBR,C,0,78.93,Transient
City Hotel,1,50,2,0,Direct,PRT,A,0,145.8,Transient
Resort Hotel,0,32,2,0,Online TA,GBR,E,0,121.33,Transient-Party
Resort Hotel,1,49,2,0,Groups,PRT,A,0,35,Transient
City Hotel,1,323,2,0,Groups,PRT,A,0,62,Transient-Party
City Hotel,0,1,1,0,Online TA,SWE,A,0,133.98,Transient
City Hotel,0,198,1,0,Groups,PRT,A,1,57.5,Transient-Party
City Hotel,1,210,2,0,Online TA,GBR,A,0,117,Transient
City Hotel,1,447,2,0,Groups,PRT,A,0,62,Transient
City Hotel,0,1,3,0,Online TA,ESP,D,0,161,Transient
City Hotel,0,80,2,0,Online TA,FRA,A,0,53.97,Transient
City Hotel,0,47,2,0,Online TA,FRA,A,0,94.5,Contract
City Hotel,0,8,2,0,Online TA,ESP,D,0,158,Transient
Resort Hotel,0,0,2,0,Online TA,ESP,A,0,50.1,Transient
City Hotel,1,12,2,1,Offline TA/TO,PRT,A,0,164.8,Transient
City Hotel,0,22,2,0,Online TA,BEL,A,0,87,Contract
Resort Hotel,0,0,1,0,Offline TA/TO,PRT,A,0,30,Transient
City Hotel,1,99,2,0,Corporate,PRT,A,0,80,Transient-Party
City Hotel,1,42,2,0,Groups,PRT,A,0,90,Transient
Resort Hotel,1,244,2,0,Groups,IRL,A,0,8,Transient-Party
City Hotel,1,277,2,0,Groups,PRT,A,0,100,Transient
City Hotel,0,8,2,0,Online TA,DEU,D,0,92.17,Transient
Resort Hotel,1,227,2,0,Online TA,GBR,E,0,81,Transient
City Hotel,0,33,1,0,Groups,ESP,A,1,75,Transient-Party
City Hotel,1,245,2,0,Offline TA/TO,PRT,A,0,75,Transient
City Hotel,0,28,2,0,Online TA,NLD,A,0,99.87,Contract
City Hotel,0,2,2,0,Online TA,ITA,A,0,105,Transient
City Hotel,0,38,2,0,Online TA,USA,E,0,209,Transient
City Hotel,0,173,2,0,Online TA,USA,A,1,89.1,Transient
City Hotel,1,66,2,0,Online TA,FRA,A,0,89.1,Transient
City Hotel,0,172,2,0,Offline TA/TO,DEU,A,0,89.1,Transient
Resort Hotel,1,186,2,0,Online TA,PRT,D,1,167.14,Transient
Resort Hotel,0,21,2,0,Online TA,PRT,A,1,60,Transient
Resort Hotel,1,42,2,0,Online TA,ESP,A,1,57.55,Transient
Resort Hotel,0,13,1,0,Direct,PRT,A,1,99,Transient
Resort Hotel,0,27,2,1,Direct,PRT,C,0,153,Transient
Resort Hotel,1,36,2,0,Groups,PRT,A,0,64,Transient-Party
City Hotel,1,11,3,0,Online TA,ITA,D,0,193,Transient
Resort Hotel,0,5,2,0,Direct,PRT,F,0,61,Transient
City Hotel,1,241,1,0,Online TA,DEU,A,2,103.6,Transient
City Hotel,0,13,2,0,Online TA,ESP,A,2,89,Transient
City Hotel,1,12,2,0,Online TA,ESP,A,0,140,Transient
City Hotel,1,165,2,0,Groups,PRT,A,0,225,Transient
City Hotel,0,6,2,0,Online TA,DEU,D,0,156,Transient
City Hotel,0,7,1,0,Direct,FRA,A,0,95,Transient
City Hotel,1,391,2,0,Groups,PRT,A,0,62,Transient
